2026-01-31 17:53:42.452 +07 | INFO     | Line   16 (pool.py): Postgres pool initialized
2026-01-31 17:54:10.359 +07 | INFO     | Line   90 (chat.py): Save system message to database...
2026-01-31 17:54:18.454 +07 | INFO     | Line   90 (chat.py): Save user message to database...
2026-01-31 17:54:18.457 +07 | DEBUG    | Line   74 (chat.py): Loaded 2 messages
2026-01-31 17:54:18.524 +07 | DEBUG    | Line   84 (chat.py): No summarization needed of context 69 tokens
2026-01-31 17:54:18.532 +07 | INFO     | Line   93 (chat.py): load recent messages 2 to query rewrite service
2026-01-31 17:54:18.533 +07 | INFO     | Line   96 (chat.py): Query understanding: rewriting & ambiguity detection
2026-01-31 17:54:20.216 +07 | INFO     | Line  107 (chat.py): Query is clear
2026-01-31 17:54:20.217 +07 | INFO     | Line  124 (chat.py): Context augmentation for building LLM prompt context
2026-01-31 17:54:22.940 +07 | INFO     | Line   90 (chat.py): Save assistant message to database...
2026-01-31 17:54:26.623 +07 | INFO     | Line   90 (chat.py): Save user message to database...
2026-01-31 17:54:26.626 +07 | DEBUG    | Line   74 (chat.py): Loaded 4 messages
2026-01-31 17:54:26.627 +07 | DEBUG    | Line   84 (chat.py): No summarization needed of context 251 tokens
2026-01-31 17:54:26.630 +07 | INFO     | Line   93 (chat.py): load recent messages 4 to query rewrite service
2026-01-31 17:54:26.630 +07 | INFO     | Line   96 (chat.py): Query understanding: rewriting & ambiguity detection
2026-01-31 17:54:28.634 +07 | INFO     | Line  107 (chat.py): Query is clear
2026-01-31 17:54:28.635 +07 | INFO     | Line  124 (chat.py): Context augmentation for building LLM prompt context
2026-01-31 17:54:31.700 +07 | INFO     | Line   90 (chat.py): Save assistant message to database...
2026-01-31 17:54:38.062 +07 | INFO     | Line   90 (chat.py): Save user message to database...
2026-01-31 17:54:38.067 +07 | DEBUG    | Line   74 (chat.py): Loaded 6 messages
2026-01-31 17:54:38.068 +07 | DEBUG    | Line   84 (chat.py): No summarization needed of context 460 tokens
2026-01-31 17:54:38.070 +07 | INFO     | Line   93 (chat.py): load recent messages 6 to query rewrite service
2026-01-31 17:54:38.071 +07 | INFO     | Line   96 (chat.py): Query understanding: rewriting & ambiguity detection
2026-01-31 17:54:40.258 +07 | WARNING  | Line  104 (chat.py): Query detected as ambiguous
2026-01-31 17:54:40.259 +07 | INFO     | Line  105 (chat.py): Rewritten query: Tại sao nhiều câu chuyện cười lại sử dụng động vật làm nhân vật chính?
2026-01-31 17:54:40.259 +07 | INFO     | Line  124 (chat.py): Context augmentation for building LLM prompt context
2026-01-31 17:54:46.879 +07 | INFO     | Line   90 (chat.py): Save assistant message to database...
2026-01-31 17:54:48.922 +07 | INFO     | Line   90 (chat.py): Save user message to database...
2026-01-31 17:54:48.925 +07 | DEBUG    | Line   74 (chat.py): Loaded 8 messages
2026-01-31 17:54:48.926 +07 | DEBUG    | Line   84 (chat.py): No summarization needed of context 1142 tokens
2026-01-31 17:54:48.929 +07 | INFO     | Line   93 (chat.py): load recent messages 8 to query rewrite service
2026-01-31 17:54:48.930 +07 | INFO     | Line   96 (chat.py): Query understanding: rewriting & ambiguity detection
2026-01-31 17:54:50.589 +07 | WARNING  | Line  104 (chat.py): Query detected as ambiguous
2026-01-31 17:54:50.590 +07 | INFO     | Line  105 (chat.py): Rewritten query: Theo bạn, việc kể chuyện cười trong hội thoại mang lại những lợi ích gì cho người nghe?
